Cst_Cnt,Btl_Cnt,Depth (m),T_degC,SiO3uM,PO4uM,NO2uM,NO3uM,NH3uM,LightP,Bottle Number,studyName,Latitude,Longitude,Line_x,Station_x,Line_y,Station_y,Diatom < 5um,Diatom 5-10um,Diatom 10-20um,Diatom 20-40um,Diatom > 40um,Total Diatom
31264,782871,69,12.95,7.6,0.94,0.08,9.1,,,13.0,2006-10-21-C-33RR,3208,-12064,90.0,70.0,90.0,70.0,0.0,0.0,0.53,0.93,0.21,1.68
31266,782926,10,18.71,1.8,0.23,0.0,0.1,,,21.0,2006-10-21-C-33RR,3266,-11948,90.0,53.0,90.0,53.0,0.0,0.0,0.03,0.02,0.0,0.05
31266,782930,40,15.41,2.7,0.38,0.03,0.6,,,17.0,2006-10-21-C-33RR,3266,-11948,90.0,53.0,90.0,53.0,0.0,0.0,0.15,0.13,0.29,0.57
31266,782934,71,12.09,10.6,1.07,0.07,11.5,,,14.0,2006-10-21-C-33RR,3266,-11948,90.0,53.0,90.0,53.0,0.0,0.0,0.24,0.07,0.04,0.35
31268,782991,9,17.63,1.3,0.25,0.0,0.1,,,20.0,2006-10-21-C-33RR,3318,-11839,90.0,37.0,90.0,37.0,0.0,0.0,0.11,0.01,0.02,0.15
31268,782995,29,15.77,2.4,0.37,0.07,0.9,,,17.0,2006-10-21-C-33RR,3318,-11839,90.0,37.0,90.0,37.0,0.0,0.0,0.06,0.07,2.43,2.55
31268,782999,49,13.17,6.8,0.73,0.2,5.2,,,15.0,2006-10-21-C-33RR,3318,-11839,90.0,37.0,90.0,37.0,0.0,0.0,0.2,0.03,1.03,1.26
31300,783786,30,15.68,3.5,0.39,0.03,0.0,,,21.0,2006-10-21-C-33RR,3428,-12002,81.8,46.9,81.8,46.9,0.0,0.0,0.65,0.3,1.2,2.16
31300,783787,40,13.58,6.8,0.75,0.28,3.9,,,20.0,2006-10-21-C-33RR,3428,-12002,81.8,46.9,81.8,46.9,0.0,0.0,0.17,0.33,0.0,0.5
31303,783835,11,15.91,2.3,0.29,0.02,0.0,,,20.0,2006-10-21-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.0,0.94,6.76,7.72,15.43
31303,783838,26,15.78,2.7,0.33,0.06,0.2,,,18.0,2006-10-21-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.2,1.0,0.36,1.38,2.94
31303,783839,30,15.69,2.9,0.36,0.09,0.6,,,17.0,2006-10-21-C-33RR,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.0,0.46,0.15,4.16,4.76
31305,783900,11,17.42,1.8,0.3,0.0,0.0,,,23.0,2006-10-21-C-33RR,3383,-12182,80.0,70.0,80.0,69.7,0.08,0.0,0.15,0.16,0.0,0.39
31305,783905,40,15.26,1.4,0.32,0.0,0.0,,,19.0,2006-10-21-C-33RR,3383,-12182,80.0,70.0,80.0,69.7,0.0,0.0,0.05,0.01,0.03,0.08
31305,783906,50,14.12,1.6,0.35,0.02,0.2,,,18.0,2006-10-21-C-33RR,3383,-12182,80.0,70.0,80.0,69.7,0.0,0.0,0.02,0.0,0.03,0.05
31306,783935,10,17.01,1.6,0.3,0.0,0.0,,,20.0,2006-10-21-C-33RR,3349,-12253,80.0,80.0,80.0,79.9,0.0,0.0,0.07,0.0,0.0,0.07
31306,783941,50,13.33,2.4,0.47,0.14,1.3,,,15.0,2006-10-21-C-33RR,3349,-12253,80.0,80.0,80.0,79.9,0.0,0.0,0.72,0.0,0.07,0.8
31306,783942,60,12.5,3.9,0.65,0.26,4.0,,,14.0,2006-10-21-C-33RR,3349,-12253,80.0,80.0,80.0,79.9,0.0,0.0,0.17,0.03,0.0,0.2
31308,784004,14,17.64,1.6,0.29,0.0,0.0,,,21.0,2006-10-21-C-33RR,3281,-12392,80.0,100.0,80.0,100.2,0.0,0.0,0.12,0.0,0.0,0.12
31308,784010,52,16.97,1.4,0.3,0.0,0.0,,,18.0,2006-10-21-C-33RR,3281,-12392,80.0,100.0,80.0,100.2,0.0,0.0,0.01,0.0,0.0,0.01
31308,784011,64,15.15,1.5,0.32,0.0,0.0,,,17.0,2006-10-21-C-33RR,3281,-12392,80.0,100.0,80.0,100.2,0.0,0.0,0.0,0.01,0.01,0.02
31337,784776,10,12.97,3.7,0.58,0.15,3.2,,,19.0,2007-01-12-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.0,0.0,6.73,17.15,0.3,24.18
31337,784779,30,12.9,3.8,0.6,0.15,3.4,,,17.0,2007-01-12-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.21,0.0,12.02,4.85,7.26,24.34
31337,784780,40,12.49,7.3,0.87,0.19,6.7,,,16.0,2007-01-12-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.0,1.28,2.88,1.45,4.29,9.89
31339,784836,10,13.02,3.3,0.4,0.08,0.8,,,19.0,2007-01-12-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.38,0.61,0.02,1.01
31339,784837,20,12.76,4.0,0.48,0.23,2.0,,,18.0,2007-01-12-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.3,0.36,0.0,0.66
31339,784843,69,12.68,4.1,0.52,0.33,2.6,,,13.0,2007-01-12-C-31JD,3382,-12184,80.0,70.0,80.0,70.0,0.0,0.15,0.27,0.12,2.9,3.45
31340,784867,10,12.76,4.4,0.49,0.23,2.1,,,19.0,2007-01-12-C-31JD,3348,-12254,80.0,80.0,80.0,80.0,0.0,0.15,0.1,0.03,0.32,0.61
31340,784868,20,12.74,4.4,0.49,0.23,2.2,,,18.0,2007-01-12-C-31JD,3348,-12254,80.0,80.0,80.0,80.0,0.0,0.13,0.78,0.69,0.0,1.6
31340,784872,47,12.65,5.0,0.55,0.45,2.9,,,15.0,2007-01-12-C-31JD,3348,-12254,80.0,80.0,80.0,80.0,0.0,0.1,0.61,0.3,0.01,1.02
31342,784929,11,14.15,2.2,0.3,0.01,0.0,,,19.0,2007-01-12-C-31JD,3281,-12391,80.0,100.0,80.0,100.1,0.0,0.2,0.06,0.14,0.0,0.41
31342,784933,41,13.95,2.1,0.33,0.02,0.1,,,16.0,2007-01-12-C-31JD,3281,-12391,80.0,100.0,80.0,100.1,0.0,0.0,0.19,0.25,0.07,0.52
31342,784935,61,13.93,2.1,0.33,0.03,0.1,,,14.0,2007-01-12-C-31JD,3281,-12391,80.0,100.0,80.0,100.1,0.0,0.08,0.15,0.0,0.02,0.25
31344,784964,10,13.76,0.9,0.32,0.03,0.1,,,22.0,2007-01-12-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.55,2.35,22.76,1.55,4.91,32.12
31344,784966,20,13.71,1.0,0.35,0.04,0.2,,,21.0,2007-01-12-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.44,0.21,19.04,16.4,0.56,36.65
31344,784970,60,12.64,10.7,1.12,0.33,10.8,,,17.0,2007-01-12-C-31JD,3428,-12003,81.8,46.9,81.8,46.9,0.26,0.68,0.92,0.19,0.06,2.09
31374,785717,10,14.6,2.2,0.39,0.05,0.3,,,19.0,2007-01-12-C-31JD,3319,-11838,90.0,37.0,90.0,36.9,0.14,18.41,32.52,33.8,0.11,84.98
31374,785721,31,14.52,1.6,0.37,0.03,0.1,,,17.0,2007-01-12-C-31JD,3319,-11838,90.0,37.0,90.0,36.9,0.76,8.73,16.85,19.83,17.55,63.71
31374,785724,61,14.07,5.8,0.65,0.16,3.9,,,14.0,2007-01-12-C-31JD,3319,-11838,90.0,37.0,90.0,36.9,0.0,0.0,2.48,2.24,0.31,5.03
31376,785779,11,13.59,2.7,0.47,0.1,1.9,,,19.0,2007-01-12-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.0,0.31,3.94,2.22,0.55,7.02
31376,785786,51,13.59,2.8,0.48,0.1,1.9,,,15.0,2007-01-12-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.05,0.37,4.97,0.04,0.24,5.67
31376,785788,71,12.82,7.4,0.82,0.2,7.3,,,13.0,2007-01-12-C-31JD,3265,-11948,90.0,53.0,90.0,53.0,0.05,0.41,0.74,0.99,0.13,2.32
31378,785846,11,13.18,3.8,0.55,0.22,2.9,,,19.0,2007-01-12-C-31JD,3209,-12062,90.0,70.0,90.0,69.8,0.0,0.36,1.5,3.52,0.11,5.48
31378,785850,31,13.17,4.2,0.59,0.15,3.4,,,17.0,2007-01-12-C-31JD,3209,-12062,90.0,70.0,90.0,69.8,0.0,0.32,0.66,2.03,0.04,3.05
31378,785857,100,10.18,17.5,1.5,0.01,19.0,,,11.0,2007-01-12-C-31JD,3209,-12062,90.0,70.0,90.0,69.8,0.0,0.0,0.06,0.0,0.0,0.06
31380,785909,15,15.2,0.7,0.27,0.0,0.1,,,19.0,2007-01-12-C-31JD,3142,-12199,90.0,90.0,90.0,90.0,0.0,0.0,0.08,0.64,0.02,0.74
31380,785914,46,15.21,0.9,0.28,0.0,0.1,,,17.0,2007-01-12-C-31JD,3142,-12199,90.0,90.0,90.0,90.0,0.0,0.0,0.06,0.01,0.48,0.55
31380,785919,80,15.21,1.0,0.28,0.0,0.1,,,14.0,2007-01-12-C-31JD,3142,-12199,90.0,90.0,90.0,90.0,0.0,0.0,0.14,0.59,1.65,2.38
31383,786006,19,15.82,1.6,0.26,0.0,0.0,,,21.0,2007-01-12-C-31JD,3042,-12399,90.0,120.0,90.0,119.9,0.0,0.0,0.12,0.0,0.0,0.12
31383,786013,71,15.83,1.5,0.26,0.0,0.0,,,16.0,2007-01-12-C-31JD,3042,-12399,90.0,120.0,90.0,119.9,0.0,0.0,0.08,0.0,0.36,0.43
31383,786018,102,14.55,2.1,0.28,0.13,0.2,,,13.0,2007-01-12-C-31JD,3042,-12399,90.0,120.0,90.0,119.9,0.0,0.0,0.13,0.04,0.18,0.35
31423,787033,11,11.38,18.6,1.55,0.29,17.7,,,19.0,2007-03-27-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.08,1.46,0.84,0.2,1.78,4.36
31423,787038,31,11.37,19.0,1.56,0.35,17.8,,,17.0,2007-03-27-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.33,0.62,0.38,0.28,4.22,5.83
31423,787041,61,11.05,18.3,1.56,0.36,18.0,,,14.0,2007-03-27-C-31JD,3432,-12080,80.0,55.0,80.0,55.0,0.19,0.04,0.17,0.74,7.71,8.84
31425,787096,10,12.95,3.2,0.49,0.17,2.1,,,19.0,2007-03-27-C-31JD,3382,-12184,80.0,70.0,80.0,69.9,0.0,0.1,0.24,0.0,0.0,0.35
31425,787100,50,12.88,3.2,0.53,0.18,2.6,,,15.0,2007-03-27-C-31JD,3382,-12184,80.0,70.0,80.0,69.9,0.16,0.0,0.52,0.66,1.49,2.82
31425,787102,70,12.7,3.5,0.67,0.26,4.1,,,13.0,2007-03-27-C-31JD,3382,-12184,80.0,70.0,80.0,69.9,0.13,0.09,0.46,0.13,0.05,0.86
31426,787127,11,13.49,2.7,0.42,0.09,1.1,,,19.0,2007-03-27-C-31JD,3348,-12253,80.0,80.0,80.0,80.0,0.07,0.0,0.41,4.74,0.12,5.34
31426,787129,30,13.1,2.8,0.48,0.12,2.1,,,17.0,2007-03-27-C-31JD,3348,-12253,80.0,80.0,80.0,80.0,0.06,0.0,0.5,0.34,0.06,0.96
31426,787130,40,13.07,2.9,0.52,0.15,2.7,,,16.0,2007-03-27-C-31JD,3348,-12253,80.0,80.0,80.0,80.0,0.0,0.33,0.73,0.0,0.56,1.62
31429,787203,15,14.08,2.2,0.33,0.0,0.0,,,19.0,2007-03-27-C-31JD,3282,-12390,80.0,100.0,80.0,100.0,0.11,0.0,0.5,0.04,0.0,0.65
31429,787206,46,14.06,2.1,0.33,0.0,0.1,,,17.0,2007-03-27-C-31JD,3282,-12390,80.0,100.0,80.0,100.0,0.12,0.0,0.36,0.0,0.0,0.49
31429,787208,54,13.6,2.8,0.35,0.05,0.5,,,16.0,2007-03-27-C-31JD,3282,-12390,80.0,100.0,80.0,100.0,0.0,0.07,0.49,0.06,0.43,1.06
31430,787237,22,11.59,15.9,1.36,0.35,15.5,,,21.0,2007-03-27-C-31JD,3428,-12002,81.8,46.9,81.8,46.9,1.46,0.0,0.15,0.0,23.84,25.46
31454,787872,12,15.5,1.7,0.32,0.0,0.0,,,19.0,2007-03-27-C-31JD,3318,-11840,90.0,37.0,90.0,37.2,0.0,0.12,0.12,0.08,0.39,0.72
31454,787878,44,13.87,3.9,0.54,0.15,2.6,,,15.0,2007-03-27-C-31JD,3318,-11840,90.0,37.0,90.0,37.2,0.0,0.19,0.35,0.41,0.29,1.24
31454,787880,56,13.34,6.1,0.72,0.35,4.9,,,14.0,2007-03-27-C-31JD,3318,-11840,90.0,37.0,90.0,37.2,0.0,0.06,0.08,0.04,0.16,0.34
31456,787939,11,13.81,5.0,0.49,0.1,2.0,,,20.0,2007-03-27-C-31JD,3266,-11948,90.0,53.0,90.0,52.9,0.0,0.29,0.16,0.41,0.05,0.92
31456,787940,16,13.57,6.6,0.61,0.17,3.5,,,19.0,2007-03-27-C-31JD,3266,-11948,90.0,53.0,90.0,52.9,0.13,0.0,0.15,0.07,0.16,0.51
31456,787941,20,13.38,6.7,0.66,0.19,4.2,,,18.0,2007-03-27-C-31JD,3266,-11948,90.0,53.0,90.0,52.9,0.17,0.3,0.2,0.26,0.0,0.93
31458,787998,8,14.56,1.9,0.31,0.0,0.0,,,20.0,2007-03-27-C-31JD,3206,-12065,90.0,70.0,90.1,70.3,0.0,0.16,0.29,0.01,0.0,0.47
31458,788005,50,13.9,2.6,0.37,0.04,0.3,,,15.0,2007-03-27-C-31JD,3206,-12065,90.0,70.0,90.1,70.3,0.0,0.37,0.17,0.11,0.1,0.75
31458,788006,62,13.01,3.2,0.52,0.22,2.4,,,14.0,2007-03-27-C-31JD,3206,-12065,90.0,70.0,90.1,70.3,0.05,0.19,0.24,0.07,0.08,0.63
31460,788063,10,14.58,2.3,0.33,0.0,0.0,,,21.0,2007-03-27-C-31JD,3141,-12199,90.0,90.0,90.0,90.1,1.39,0.19,0.07,0.14,0.0,1.79
31460,788066,35,13.67,2.5,0.36,0.03,0.1,,,18.0,2007-03-27-C-31JD,3141,-12199,90.0,90.0,90.0,90.1,0.04,0.04,0.25,0.1,2.76,3.19
31460,788068,45,13.52,2.4,0.39,0.08,0.4,,,16.0,2007-03-27-C-31JD,3141,-12199,90.0,90.0,90.0,90.1,0.26,0.04,0.14,0.13,0.28,0.86
31463,788159,15,15.98,1.6,0.25,0.0,0.0,,,19.0,2007-03-27-C-31JD,3042,-12400,90.0,120.0,90.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
31463,788165,60,16.45,1.5,0.2,0.0,0.0,,,16.0,2007-03-27-C-31JD,3042,-12400,90.0,120.0,90.0,120.0,0.0,0.0,0.13,0.0,0.0,0.13
31463,788171,115,15.95,1.9,0.22,0.05,0.2,,,11.0,2007-03-27-C-31JD,3042,-12400,90.0,120.0,90.0,120.0,0.0,0.0,1.11,0.01,0.14,1.26
31490,788902,10,13.53,7.9,0.75,0.13,7.0,,,21.0,2007-06-28-C-32NM,3431,-12079,80.0,55.0,80.0,54.9,0.33,1.73,8.39,16.25,5.11,31.81
31490,788905,19,12.97,10.8,0.97,0.17,10.1,,,19.0,2007-06-28-C-32NM,3431,-12079,80.0,55.0,80.0,54.9,0.0,0.0,2.12,2.15,1.25,5.52
31490,788909,34,11.5,16.3,1.38,0.15,16.5,,,17.0,2007-06-28-C-32NM,3431,-12079,80.0,55.0,80.0,54.9,0.0,0.21,3.07,3.29,1.47,8.05
31492,788968,10,15.66,3.0,0.46,0.06,2.3,,,19.0,2007-06-28-C-32NM,3382,-12183,80.0,70.0,80.0,69.9,0.0,0.0,0.23,2.45,0.03,2.7
31492,788970,30,15.38,2.6,0.5,0.08,2.6,,,17.0,2007-06-28-C-32NM,3382,-12183,80.0,70.0,80.0,69.9,0.0,0.0,0.53,0.3,0.07,0.9
31492,788971,40,13.67,4.5,0.59,0.23,3.3,,,16.0,2007-06-28-C-32NM,3382,-12183,80.0,70.0,80.0,69.9,0.0,0.0,0.52,1.04,0.22,1.78
31493,788999,15,16.31,3.7,0.31,0.0,0.2,,,19.0,2007-06-28-C-32NM,3348,-12252,80.0,80.0,80.0,79.9,0.0,0.0,0.37,0.33,0.03,0.72
31493,789004,55,13.22,2.7,0.37,0.04,0.3,,,16.0,2007-06-28-C-32NM,3348,-12252,80.0,80.0,80.0,79.9,0.0,0.0,0.12,1.52,0.0,1.64
31493,789005,64,13.12,2.9,0.39,0.1,0.3,,,15.0,2007-06-28-C-32NM,3348,-12252,80.0,80.0,80.0,79.9,0.0,0.0,0.22,0.17,0.18,0.57
31495,789065,15,17.18,1.9,0.35,0.0,0.0,,,19.0,2007-06-28-C-32NM,3282,-12390,80.0,100.0,80.0,99.9,0.15,0.4,0.18,0.01,0.02,0.77
31495,789070,59,16.19,1.8,0.32,0.0,0.1,,,16.0,2007-06-28-C-32NM,3282,-12390,80.0,100.0,80.0,99.9,0.17,0.79,0.56,0.0,0.0,1.51
31496,789096,10,15.1,3.9,0.52,0.07,2.0,,,23.0,2007-06-28-C-32NM,3427,-12002,81.8,46.9,81.8,46.8,0.15,0.58,0.74,0.22,0.12,1.8
31496,789099,40,12.2,15.6,1.32,0.21,13.1,,,20.0,2007-06-28-C-32NM,3427,-12002,81.8,46.9,81.8,46.8,0.2,0.18,0.28,1.84,9.77,12.27
31496,789100,50,10.81,19.7,1.56,0.21,19.6,,,19.0,2007-06-28-C-32NM,3427,-12002,81.8,46.9,81.8,46.8,0.42,0.17,0.69,1.23,3.58,6.09
31526,789832,10,19.08,1.2,0.18,0.0,0.0,,,19.0,2007-06-28-C-32NM,3318,-11838,90.0,37.0,90.0,36.9,0.21,0.31,2.98,0.7,0.47,4.68
31526,789835,39,12.26,8.5,1.01,0.25,11.4,,,16.0,2007-06-28-C-32NM,3318,-11838,90.0,37.0,90.0,36.9,0.16,1.51,13.88,18.76,20.25,54.57
31526,789836,50,11.34,14.6,1.34,0.07,16.9,,,15.0,2007-06-28-C-32NM,3318,-11838,90.0,37.0,90.0,36.9,0.0,0.07,2.05,2.16,6.63,10.91
31528,789891,10,15.37,0.0,0.21,0.11,0.9,,,19.0,2007-06-28-C-32NM,3265,-11948,90.0,53.0,90.0,53.0,0.32,0.43,14.16,22.47,14.22,51.6
31528,789892,19,13.4,1.5,0.57,0.16,5.9,,,18.0,2007-06-28-C-32NM,3265,-11948,90.0,53.0,90.0,53.0,0.0,2.13,13.75,5.44,20.52,41.85
31528,789895,41,9.8,23.2,1.73,0.08,22.9,,,16.0,2007-06-28-C-32NM,3265,-11948,90.0,53.0,90.0,53.0,0.0,0.0,0.07,0.47,0.61,1.15
31530,789955,9,14.14,2.5,0.6,0.18,4.6,,,19.0,2007-06-28-C-32NM,3208,-12064,90.0,70.0,90.0,70.0,0.14,0.0,0.25,0.9,1.78,3.07
31530,789962,59,13.06,4.4,0.67,0.48,5.1,,,14.0,2007-06-28-C-32NM,3208,-12064,90.0,70.0,90.0,70.0,0.0,0.08,0.24,0.57,1.16,2.04
31530,789963,70,12.57,5.7,0.79,0.26,7.4,,,13.0,2007-06-28-C-32NM,3208,-12064,90.0,70.0,90.0,70.0,0.0,0.0,0.03,3.97,3.73,7.74
31532,790019,15,16.73,1.8,0.29,0.01,0.0,,,19.0,2007-06-28-C-32NM,3141,-12200,90.0,90.0,90.0,90.2,0.0,0.0,0.28,0.25,0.0,0.53
31532,790029,85,12.88,4.7,0.68,0.32,4.6,,,13.0,2007-06-28-C-32NM,3141,-12200,90.0,90.0,90.0,90.2,0.0,0.13,0.34,0.0,0.0,0.47
31535,790117,16,17.93,1.5,0.27,0.01,0.0,,,19.0,2007-06-28-C-32NM,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.0,0.1,0.02,0.06,0.18
31535,790123,61,16.09,1.5,0.28,0.01,0.0,,,16.0,2007-06-28-C-32NM,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.12,0.03,0.07,0.0,0.22
31535,790131,125,13.54,2.8,0.44,0.11,2.2,,,10.0,2007-06-28-C-32NM,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.0,0.01,0.06,0.04,0.11
31560,790803,9,14.17,2.7,0.48,0.17,2.3,,,21.0,2007-11-02-C-32NM,3432,-12079,80.0,55.0,80.0,54.9,0.0,0.0,0.33,1.9,1.98,4.22
31560,790808,31,13.69,3.4,0.54,0.23,3.5,,,18.0,2007-11-02-C-32NM,3432,-12079,80.0,55.0,80.0,54.9,0.0,0.0,0.28,0.05,0.04,0.36
31560,790809,41,13.66,3.7,0.56,0.24,3.9,,,17.0,2007-11-02-C-32NM,3432,-12079,80.0,55.0,80.0,54.9,0.0,0.0,0.62,0.33,0.0,0.95
31562,790866,10,17.0,1.6,0.27,0.0,0.2,,,19.0,2007-11-02-C-32NM,3381,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.17,0.01,0.0,0.18
31562,790869,40,14.27,2.2,0.4,0.07,1.0,,,16.0,2007-11-02-C-32NM,3381,-12184,80.0,70.0,80.0,70.0,0.2,0.04,0.03,0.01,0.01,0.27
31562,790870,50,12.95,2.9,0.49,0.21,1.8,,,15.0,2007-11-02-C-32NM,3381,-12184,80.0,70.0,80.0,70.0,0.0,0.0,0.08,0.23,0.0,0.31
31563,790894,10,16.39,1.2,0.29,0.0,0.1,,,20.0,2007-11-02-C-32NM,3349,-12253,80.0,80.0,80.0,79.9,0.09,0.0,0.15,0.06,0.0,0.3
31563,790897,35,15.2,1.4,0.32,0.01,0.2,,,17.0,2007-11-02-C-32NM,3349,-12253,80.0,80.0,80.0,79.9,0.0,0.0,0.14,0.02,0.0,0.16
31563,790899,50,13.32,2.2,0.42,0.09,0.8,,,15.0,2007-11-02-C-32NM,3349,-12253,80.0,80.0,80.0,79.9,0.11,0.0,0.12,0.06,0.05,0.33
31565,790958,2,14.52,4.7,0.27,0.02,0.1,,,24.0,2007-11-02-C-32NM,3427,-12003,81.8,46.9,81.8,46.9,0.0,0.0,0.89,0.0,0.6,1.48
31565,790959,10,13.76,7.1,0.7,0.46,6.2,,,23.0,2007-11-02-C-32NM,3427,-12003,81.8,46.9,81.8,46.9,0.12,0.07,0.58,0.25,0.0,1.02
31565,790960,20,12.82,9.5,1.01,0.57,11.1,,,22.0,2007-11-02-C-32NM,3427,-12003,81.8,46.9,81.8,46.9,0.0,0.1,0.31,0.02,0.0,0.43
31594,791690,10,17.17,0.6,0.22,0.0,0.1,,,19.0,2007-11-02-C-32NM,3318,-11839,90.0,37.0,90.0,37.0,0.0,0.0,0.2,0.02,0.0,0.22
31594,791691,20,17.18,0.6,0.22,0.0,0.0,,,18.0,2007-11-02-C-32NM,3318,-11839,90.0,37.0,90.0,37.0,0.02,0.0,0.19,0.0,0.0,0.21
